State,Bill Number,CCNegative,NegorPos,# of Sponsors,% Republican Party,PartyScore,Committee Intro,YearIntro,Date Introduced,Bill Title,Disposition,Date of Furthest Progression,"Progress (1, 2, 2, 3)",Open States Link,Negative,Adoption or Enabling,Alignment,Appropriation,Legislative Approbation,Legislative Disapprobation,Review,Revocation,Other,A: Accountability Systems,A: Assessment,A: Charter and Private Schools,A: Career Technical Education,A: College- and Career-Readiness,A: Curriculum (Instructional Materials),A: Early Childhood Education,A: Educ Evaluations,A: Educ Prep Program,A: Educ Prof Development,A: English Language Learners,A: Higher Education,A: HS Grad Requirements,A: Innovation Zones,A: Instruction,A: Juvenile Court Schools,A: K-3 Reading Proficiency,A: Online Course Offerings,A: School Accreditation / Performance Rating System,A: Students w/ Cognitive Disabilities,A: Supplemental Educational Services,A: Technological Infrastructure,,,,,
Illinois,IL H 0543,1,Negative,12,1,1,,2013,8/12/13,Legislative Resolution,Pending,,1,http://openstates.org/il/bills/98th/HR543/,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,MI H 4972,1,Negative,5,1,1,,2013,9/12/13,Curriculum,Pending,,1,http://openstates.org/mi/bills/2013-2014/HB4972/,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,NJ S 2973,1,Negative,1,0,-1,,2013,9/12/13,Common Core State Standards Evaluation Task Force,Pending,,1,http://openstates.org/nj/bills/215/S2973/,1,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,IL SR 0638,1,Negative,1,1,1,,2013,10/22/13,Legislative Resolution,Pending,,1,http://openstates.org/il/bills/98th/SR638/,1,,1,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,OH S 0237,1,Negative,1,1,1,,2013,11/13/13,Common Core Initiative Academic Standards,Pending,,1,http://openstates.org/oh/bills/130/SB237/,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,NV S 14,0,Positive,5,0.4,-0.2,1,,12/13/10,Model English and Mathematics Curriculum,Enacted,5/24/11,3,http://openstates.org/nv/bills/76/SB14/,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Minnesota,MN H 48,0,Positive,5,0,-1,,2011,1/10/11,Academic Math Standards,Pending - Carryover,,1,http://openstates.org/mn/bills/2011-2012/HF48/,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,OR HJR 4,0,Positive,2,1,1,,2011,1/10/11,Encouragement Resolution,Failed - Adjourned,,1,http://openstates.org/or/bills/2011%20Regular%20Session/HJR4/,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington,WA HB 1443,0,Positive,22,0.09091,-0.81818,,2011,1/21/11,Continuing education reforms,Pending - Carryover,2/10/11,2,http://openstates.org/wa/bills/2011-2012/HB1443/,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington,WA H 1463,0,Positive,22,0.09091,-0.81818,,2011,1/21/11,Use of Statewide Assessments,Failed,,1,http://openstates.org/wa/bills/2011-2012/HB1463/,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
